No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
1,LGVW,38.35%,39.49%,38.35%,-,-,37.37%,7.45%,2.21%,-,773.85K,28.98,13.60,0.00%,0
2,SBE,87.25%,118.32%,232.81%,247.76%,-,247.76%,16.92%,10.66%,-,3.21M,7.35,34.08,0.00%,0
3,SPYG,-1.75%,1.65%,1.81%,21.81%,29.72%,24.89%,1.13%,1.69%,-,2.88M,5.17,52.34,0.00%,0
4,BORR,27.69%,86.07%,-14.88%,16.94%,-87.84%,-91.16%,13.12%,15.15%,3.00,2.67M,5.07,0.80,0.00%,0
5,PEI,83.98%,37.52%,-24.11%,-28.57%,-84.52%,-84.05%,20.03%,14.71%,3.00,2.80M,4.79,0.85,0.00%,0
6,XPEV,63.65%,259.95%,-,-,-,240.10%,16.97%,15.76%,1.70,22.22M,4.70,72.17,0.00%,0
7,UMC,20.66%,24.55%,86.33%,182.52%,194.49%,159.33%,3.58%,3.81%,2.00,3.15M,3.77,6.95,0.00%,0
8,WTI,13.26%,18.50%,-13.14%,-25.18%,-51.54%,-63.13%,9.25%,8.33%,2.70,3.07M,3.50,2.05,0.00%,0
9,RIG,52.54%,114.54%,39.53%,29.50%,-62.03%,-73.84%,13.15%,11.54%,3.60,27.83M,3.24,1.80,0.00%,0
10,MAC,11.50%,34.58%,27.11%,31.59%,-58.86%,-60.48%,7.06%,6.63%,3.20,5.14M,3.22,10.08,0.00%,0
11,WPG,39.59%,55.93%,41.47%,32.22%,-76.06%,-72.84%,10.97%,9.37%,3.50,4.27M,2.98,0.99,0.00%,0
12,M,29.80%,43.98%,58.45%,41.06%,-32.53%,-38.76%,11.41%,8.09%,3.60,26.32M,2.83,10.41,0.00%,0
13,IVR,1.21%,19.29%,9.15%,12.84%,-75.86%,-76.66%,5.39%,4.85%,3.70,5.88M,2.66,3.34,0.00%,0
14,ATUS,12.82%,26.74%,32.19%,41.14%,34.42%,28.13%,2.72%,3.05%,1.90,6.13M,2.55,35.03,0.00%,0
15,JMIA,95.71%,68.66%,184.07%,550.97%,418.76%,347.85%,18.90%,13.05%,3.00,11.64M,2.47,30.14,0.00%,0
16,PBR-A,7.69%,25.89%,11.46%,22.06%,-34.18%,-38.07%,3.28%,3.75%,2.20,6.99M,2.42,9.24,0.00%,0
17,AMC,22.51%,28.28%,-31.23%,-31.96%,-52.14%,-47.38%,8.36%,10.99%,3.40,14.07M,2.25,3.81,0.00%,0
18,GOLD,-10.13%,-13.32%,-19.17%,-2.84%,40.93%,25.01%,2.78%,2.92%,2.00,16.91M,2.20,23.24,0.00%,0
19,BE,15.30%,34.39%,35.46%,164.75%,253.28%,195.58%,9.38%,8.37%,2.80,6.08M,2.19,22.08,0.00%,0
20,SM,57.47%,155.28%,57.47%,6.48%,-52.26%,-63.43%,17.58%,12.08%,2.90,6.00M,2.14,4.11,0.00%,0
21,TME,2.48%,10.59%,5.30%,34.91%,33.60%,40.55%,3.11%,3.88%,2.00,9.25M,2.04,16.50,0.00%,0
