No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
1,MOHO,162.77%,143.24%,80.00%,2.71%,-64.00%,-37.88%,40.34%,14.43%,3.00,580.89K,376.02,3.60,0.00%,0
2,YJ,131.89%,112.38%,66.28%,29.61%,7.25%,-6.33%,30.54%,12.60%,3.00,1.99M,354.98,4.29,0.00%,0
3,ENG,188.89%,231.71%,232.52%,179.02%,163.67%,191.84%,44.56%,16.60%,-,1.84M,52.58,2.86,0.00%,0
4,FTEK,539.15%,636.59%,635.91%,645.68%,516.91%,535.79%,38.51%,20.12%,3.00,5.70M,40.61,6.04,0.00%,0
5,IDEX,186.36%,250.90%,146.09%,670.74%,205.83%,268.12%,43.24%,15.79%,-,18.43M,26.49,3.15,0.00%,0
6,ADXS,-27.79%,-34.20%,-37.25%,-59.03%,-34.26%,-66.89%,6.41%,7.89%,2.00,2.71M,21.98,0.28,0.00%,0
7,COCP,53.74%,49.80%,-4.41%,34.83%,176.42%,162.36%,20.29%,9.46%,2.00,1.44M,21.71,1.30,0.00%,0
8,CIIC,152.74%,165.59%,168.61%,181.55%,-,173.07%,22.58%,6.59%,-,2.21M,14.62,27.17,0.00%,0
9,TANH,-36.34%,-18.89%,15.87%,121.21%,14.66%,20.99%,34.07%,14.87%,-,2.59M,13.40,2.19,0.00%,0
10,WATT,7.18%,-14.34%,-46.27%,7.18%,-2.34%,18.08%,13.42%,8.91%,1.50,1.30M,11.40,2.09,0.00%,0
11,CLNE,38.27%,74.32%,64.71%,114.35%,132.12%,91.45%,13.27%,7.89%,2.30,1.70M,8.71,4.48,0.00%,0
12,SNDL,20.36%,72.93%,-8.04%,-65.81%,-89.02%,-90.00%,12.58%,23.64%,3.20,75.90M,8.64,0.30,0.00%,0
13,BLNK,98.73%,251.50%,281.55%,1593.98%,1334.62%,1411.83%,29.08%,15.63%,2.50,7.95M,7.26,28.12,0.00%,0
14,FCEL,86.17%,240.89%,160.88%,263.51%,877.07%,205.58%,39.17%,16.97%,3.20,36.37M,7.17,7.67,0.00%,0
15,OEG,83.15%,88.28%,129.90%,98.53%,35.00%,22.73%,44.57%,18.37%,-,3.64M,6.41,1.35,0.00%,0
16,AREC,37.41%,36.49%,68.33%,100.00%,251.37%,220.63%,13.98%,9.91%,2.50,3.53M,5.77,2.02,0.00%,0
17,OPTT,53.30%,51.00%,151.67%,619.05%,189.99%,247.13%,23.14%,13.17%,3.00,11.26M,5.56,3.02,0.00%,0
18,BRQS,27.43%,8.26%,-1.67%,-21.33%,-75.31%,-34.44%,18.65%,12.04%,-,1.66M,5.49,1.18,0.00%,0
19,KNDI,53.45%,111.58%,106.58%,368.83%,192.31%,205.29%,20.06%,15.45%,-,8.09M,5.17,14.44,0.00%,0
