No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
1,LGVW,65.31%,65.99%,65.48%,-,-,64.14%,10.41%,2.95%,-,986.49K,17.26,16.25,0.00%,0
2,SBE,89.32%,160.45%,259.80%,276.33%,-,276.33%,18.77%,11.38%,-,3.61M,8.74,36.88,0.00%,0
3,PEI,164.71%,124.96%,13.51%,2.44%,-78.13%,-76.36%,25.32%,15.92%,3.00,3.07M,6.51,1.26,0.00%,0
4,BORR,49.84%,122.84%,-2.15%,33.69%,-85.92%,-89.73%,17.43%,16.31%,3.00,2.92M,6.49,0.93,0.00%,0
5,WPG,79.12%,105.00%,87.57%,77.48%,-70.23%,-64.84%,16.24%,10.78%,3.50,4.64M,6.44,1.28,0.00%,0
6,RIG,72.88%,153.01%,67.21%,50.00%,-59.44%,-70.35%,19.49%,13.04%,3.60,29.25M,5.22,2.04,0.00%,0
7,IVR,3.87%,26.45%,16.72%,23.32%,-74.82%,-75.61%,5.18%,5.00%,3.70,6.18M,4.79,3.49,0.00%,0
8,BBY,-4.60%,-0.72%,1.10%,48.55%,52.92%,29.32%,2.59%,3.09%,2.40,2.53M,4.77,113.54,0.00%,0
9,XPEV,64.60%,259.99%,-,-,-,232.85%,18.49%,16.39%,1.70,23.45M,4.48,70.63,0.00%,0
10,AMC,53.69%,66.55%,-18.21%,-9.66%,-45.35%,-36.74%,11.49%,11.52%,3.40,14.91M,4.43,4.58,0.00%,0
11,WTI,30.60%,47.53%,4.82%,-8.43%,-45.18%,-57.01%,10.26%,8.60%,2.70,3.23M,4.24,2.39,0.00%,0
12,X,28.38%,48.28%,81.07%,72.31%,3.34%,24.89%,7.25%,6.42%,3.40,11.22M,3.37,14.25,0.00%,0
13,QEP,56.64%,91.21%,38.28%,91.14%,-46.69%,-60.67%,13.50%,9.40%,2.70,3.87M,3.24,1.77,0.00%,0
14,HEXO,5.73%,12.60%,13.59%,17.44%,-63.51%,-49.74%,5.38%,9.33%,-,9.74M,3.19,0.80,0.00%,0
15,ACB,28.19%,109.77%,-1.39%,-39.83%,-69.48%,-64.39%,8.31%,15.76%,-,28.32M,3.07,9.23,0.00%,0
16,JETS,7.94%,26.88%,30.48%,47.07%,-29.26%,-28.39%,2.33%,3.20%,-,5.60M,2.96,22.56,0.00%,0
17,MOS,22.26%,27.71%,25.50%,90.00%,24.36%,7.12%,5.51%,5.03%,2.40,4.79M,2.83,23.18,0.00%,0
18,KOS,27.92%,64.17%,37.76%,8.84%,-71.28%,-65.44%,16.04%,9.78%,2.40,8.40M,2.73,1.97,0.00%,0
19,MAC,21.38%,48.30%,42.86%,50.55%,-56.71%,-57.27%,8.02%,6.97%,3.20,5.27M,2.72,10.90,0.00%,0
20,BE,29.84%,59.67%,54.16%,210.04%,299.04%,234.94%,10.94%,8.73%,2.80,6.26M,2.62,25.02,0.00%,0
21,GOLD,-10.17%,-14.42%,-22.40%,-4.84%,38.71%,22.59%,2.97%,2.97%,2.00,17.33M,2.56,22.79,0.00%,0
22,PBR-A,9.73%,36.06%,23.86%,33.65%,-29.22%,-34.25%,2.73%,3.79%,2.20,7.23M,2.55,9.81,0.00%,0
23,EXPR,71.87%,105.47%,42.59%,-23.76%,-58.04%,-68.38%,18.92%,14.59%,3.00,5.67M,2.45,1.54,0.00%,0
24,GFI,-15.11%,-25.87%,-33.49%,14.17%,70.12%,29.39%,3.58%,3.91%,2.20,6.04M,2.45,8.54,0.00%,0
25,FE,-7.24%,-19.99%,-4.82%,-37.55%,-44.13%,-45.14%,3.15%,3.40%,2.40,6.03M,2.42,26.66,0.00%,0
26,FTCH,16.51%,82.35%,85.97%,297.13%,439.57%,407.25%,4.35%,7.12%,2.00,5.51M,2.34,52.50,0.00%,0
27,IAU,-3.90%,-5.01%,-7.46%,4.99%,23.94%,18.90%,0.90%,0.80%,-,22.21M,2.31,17.24,0.00%,0
28,CLF,19.36%,27.35%,68.48%,110.27%,31.52%,29.17%,5.61%,4.89%,2.90,10.43M,2.21,10.85,0.00%,0
29,VALE,11.54%,25.76%,28.98%,53.09%,18.47%,7.97%,2.86%,2.95%,1.90,30.39M,2.21,14.01,0.00%,0
30,PLTR,33.45%,139.40%,-,-,-,150.74%,11.56%,10.88%,2.70,53.81M,2.20,23.82,0.00%,0
31,M,23.41%,60.89%,66.82%,59.00%,-30.21%,-36.12%,9.54%,7.93%,3.60,26.83M,2.19,10.86,0.00%,0
32,OXY,29.18%,77.38%,29.48%,23.02%,-57.98%,-59.28%,7.36%,6.53%,3.10,26.25M,2.11,16.78,0.00%,0
33,AEO,7.49%,26.26%,56.05%,86.48%,19.88%,21.02%,5.75%,4.85%,2.20,6.49M,2.05,17.79,0.00%,0
